Date,Open,High,Low,Close,Adj,return
2020-04-01,16600.0,16845.0,16500.0,16545.0,16545.0,-0.029675678845816
2020-04-02,16660.0,16878.0,16414.0,16834.0,16834.0,0.01746751284376
2020-04-03,16742.0,16791.0,16384.0,16384.0,16384.0,-0.026731614589521
2020-04-06,16769.0,17054.0,16765.0,17039.0,17039.0,0.03997802734375
2020-04-07,17588.0,17887.0,17178.0,17412.0,17412.0,0.021890956042021
2020-04-08,17212.0,17406.0,17196.0,17381.0,17381.0,-0.001780381346198
2020-04-09,17686.0,17756.0,17360.0,17622.0,17622.0,0.013865715436396
2020-04-14,17822.0,17831.0,17507.0,17558.0,17558.0,-0.003631823856543
2020-04-15,17455.0,17543.0,16719.0,16719.0,16719.0,-0.047784485704522
2020-04-16,17003.0,17161.0,16730.0,16768.0,16768.0,0.002930797296489
2020-04-17,17153.0,17308.0,16964.0,17055.0,17055.0,0.017115935114504
2020-04-20,17144.0,17155.0,16786.0,17064.0,17064.0,0.000527704485488
2020-04-21,16812.0,16935.0,16451.0,16451.0,16451.0,-0.035923581809658
2020-04-22,16615.0,16770.0,16555.0,16765.0,16765.0,0.019086985593581
2020-04-23,16925.0,17145.0,16778.0,17011.0,17011.0,0.014673426781986
2020-04-24,16640.0,17155.0,16640.0,16859.0,16859.0,-0.008935394744577
2020-04-27,17313.0,17380.0,17164.0,17380.0,17380.0,0.030903375051901
2020-04-28,17428.0,17941.0,17413.0,17677.0,17677.0,0.017088607594937
2020-04-29,17616.0,18076.0,17609.0,18067.0,18067.0,0.022062567177689
2020-04-30,18209.0,18303.0,17655.0,17690.0,17690.0,-0.020866773675763
