Date,Open,High,Low,Close,Adj,return
2020-12-01,22193.0,22227.0,22010.0,22100.0,22100.0,0.001767825574543
2020-12-02,22020.0,22043.0,21784.0,21972.0,21972.0,-0.00579185520362
2020-12-03,22019.0,22034.0,21902.0,22007.0,22007.0,0.001592936464591
2020-12-04,22030.0,22197.0,22027.0,22179.0,22179.0,0.007815695006134
2020-12-07,22130.0,22156.0,21964.0,22107.0,22107.0,-0.003246314080887
2020-12-08,22064.0,22106.0,21904.0,22053.0,22053.0,-0.002442665219161
2020-12-09,22215.0,22274.0,21957.0,21970.0,21970.0,-0.003763660272979
2020-12-10,22032.0,22089.0,21746.0,21916.0,21916.0,-0.002457897132453
2020-12-11,21857.0,21904.0,21572.0,21702.0,21702.0,-0.009764555575835
2020-12-14,21863.0,21997.0,21760.0,21760.0,21760.0,0.002672564740577
2020-12-15,21718.0,21964.0,21676.0,21935.0,21935.0,0.008042279411765
2020-12-16,21995.0,22176.0,21888.0,21987.0,21987.0,0.002370640528835
2020-12-17,22079.0,22142.0,22009.0,22012.0,22012.0,0.00113703552099
2020-12-18,21919.0,22145.0,21911.0,21976.0,21976.0,-0.001635471560967
2020-12-21,21470.0,21634.0,21087.0,21411.0,21411.0,-0.025709865307608
2020-12-22,21491.0,21851.0,21489.0,21844.0,21844.0,0.020223249731447
2020-12-23,21970.0,22156.0,21921.0,22130.0,22130.0,0.013092840139169
2020-12-28,22308.0,22354.0,22252.0,22289.0,22289.0,0.007184816990511
2020-12-29,22389.0,22395.0,22203.0,22259.0,22259.0,-0.001345955404011
2020-12-30,22303.0,22345.0,22233.0,22233.0,22233.0,-0.001168066849364
