Date,Open,High,Low,Close,Adj,return
2020-07-01,19452.0,19455.0,19013.0,19331.0,19331.0,-0.002322460776218
2020-07-02,19531.0,19975.0,19482.0,19887.0,19887.0,0.028762091976618
2020-07-03,19941.0,19969.0,19632.0,19727.0,19727.0,-0.008045456831096
2020-07-06,20121.0,20223.0,19928.0,20032.0,20032.0,0.015461043240229
2020-07-07,19938.0,20066.0,19845.0,20013.0,20013.0,-0.000948482428115
2020-07-08,19914.0,20101.0,19848.0,19900.0,19900.0,-0.005646329885574
2020-07-09,19993.0,20008.0,19502.0,19506.0,19506.0,-0.019798994974874
2020-07-10,19395.0,19770.0,19395.0,19768.0,19768.0,0.013431764585256
2020-07-13,20063.0,20067.0,19735.0,20003.0,20003.0,0.011887899635775
2020-07-14,19799.0,19900.0,19677.0,19880.0,19880.0,-0.006149077638354
2020-07-15,20046.0,20361.0,19982.0,20281.0,20281.0,0.020171026156942
2020-07-16,20207.0,20389.0,20179.0,20356.0,20356.0,0.003698042502835
2020-07-17,20414.0,20427.0,20264.0,20419.0,20419.0,0.003094910591472
2020-07-20,20327.0,20679.0,20217.0,20621.0,20621.0,0.009892746951369
2020-07-21,20899.0,21133.0,20703.0,20723.0,20723.0,0.004946413849959
2020-07-22,20689.0,20797.0,20509.0,20599.0,20599.0,-0.005983689620229
2020-07-23,20664.0,20689.0,20363.0,20454.0,20454.0,-0.007039176659061
2020-07-24,20155.0,20241.0,19960.0,20075.0,20075.0,-0.018529383005769
2020-07-27,20034.0,20163.0,19914.0,20020.0,20020.0,-0.002739726027397
2020-07-28,20022.0,20120.0,19698.0,19903.0,19903.0,-0.005844155844156
2020-07-29,19895.0,19973.0,19719.0,19881.0,19881.0,-0.001105361000854
2020-07-30,19926.0,19976.0,19116.0,19228.0,19228.0,-0.032845430310347
2020-07-31,19342.0,19532.0,19086.0,19092.0,19092.0,-0.007073018514666
