Date,Open,High,Low,Close,Adj,return
2020-09-01,19776.0,19871.0,19435.0,19595.0,19595.0,-0.001986350208821
2020-09-02,19713.0,20036.0,19672.0,19858.0,19858.0,0.013421791273284
2020-09-03,20009.0,20141.0,19462.0,19551.0,19551.0,-0.01545976432672
2020-09-04,19466.0,19781.0,19255.0,19391.0,19391.0,-0.008183724617667
2020-09-07,19530.0,19757.0,19480.0,19738.0,19738.0,0.017894899695735
2020-09-08,19808.0,19817.0,19202.0,19380.0,19380.0,-0.018137602593981
2020-09-09,19365.0,19792.0,19364.0,19771.0,19771.0,0.020175438596491
2020-09-10,19786.0,19971.0,19692.0,19820.0,19820.0,0.002478377421476
2020-09-11,19790.0,19876.0,19698.0,19821.0,19821.0,5.04540867810293E-05
2020-09-14,19943.0,19968.0,19725.0,19794.0,19794.0,-0.001362191614954
2020-09-15,19831.0,20043.0,19718.0,19957.0,19957.0,0.008234818631909
2020-09-16,19982.0,20033.0,19803.0,19964.0,19964.0,0.000350754121361
2020-09-17,19646.0,19811.0,19630.0,19740.0,19740.0,-0.011220196353436
2020-09-18,19685.0,19790.0,19510.0,19525.0,19525.0,-0.010891590678825
2020-09-21,19408.0,19440.0,18778.0,18793.0,18793.0,-0.037490396927017
2020-09-22,18945.0,19081.0,18803.0,18896.0,18896.0,0.005480764114298
2020-09-23,19080.0,19232.0,18930.0,18930.0,18930.0,0.001799322607959
2020-09-24,18653.0,19102.0,18621.0,18907.0,18907.0,-0.00121500264131
2020-09-25,18936.0,18938.0,18546.0,18698.0,18698.0,-0.011054106944518
2020-09-28,18953.0,19173.0,18903.0,19160.0,19160.0,0.024708524975933
2020-09-29,19132.0,19222.0,18996.0,19061.0,19061.0,-0.005167014613779
2020-09-30,18886.0,19146.0,18873.0,19015.0,19015.0,-0.002413304653481
